SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,TIPO_SCUOLA,Grado,genere,mese,anno,luogo,regolarità,origine,luogo_padre,luogo_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_ELI_200,LIVELLI_WLE_ELI,peso_studente,peso_classe,peso_scuola,ESCS_studente
1353,751,1,3,13,2,11,1,9,3,9,9,9,99,99,99,99,99,99,9,15,4,217.8280773842,3,22.4715370018975,1.06451612903226,21.1096256684492,.44474147493718
1353,751,19774,3,13,1,6,1,9,3,9,9,9,99,99,99,99,99,99,9,15,4,139.540508329872,1,22.4715370018975,1.06451612903226,21.1096256684492,-1.44693197976492
1351,747,3,4,13,1,4,1,1,3,9,9,9,8,8,7,7,7,7,3,15,4,188.783652365282,2,59.2263157894737,2.15789473684211,27.4463414634146,.587609930663704
1068,21,4,3,13,1,10,4,1,1,1,1,2,12,7,12,5,12,5,3,2,1,212.244678651046,2,35.1714285714286,2.54285714285714,13.8314606741573, 
1068,21,5,3,13,1,7,4,1,1,1,1,1,12,8,12,5,12,4,3,2,1,206.782382745072,2,35.1714285714286,2.54285714285714,13.8314606741573,.246937378087969
1068,20,6,3,13,1,3,4,1,1,1,1,1,12,5,12,6,12,6,3,2,1,169.305271361107,1,35.1714285714286,2.54285714285714,13.8314606741573,1.68634530905693
1094,79,7,3,13,1,1,4,1,1,1,1,1,66,7,66,9,66,8,3,3,1,226.48038013547,3,16.5941176470588,3.14705882352941,5.27289719626168,-.232403385104513
1070,24,19775,1,13,1,10,4,1,1,1,1,1,12,6,12,6,12,3,3,2,1,194.264451302331,2,27.7537878787879,3.29545454545455,8.42183908045977,-.377283460735926
1070,24,8,1,13,1,5,4,1,1,1,1,1,12,9,12,9,12,7,3,2,1,238.306686898513,3,27.7537878787879,3.29545454545455,8.42183908045977,2.34050375352743
1070,24,9,1,13,1,12,4,1,1,1,1,1,12,7,12,9,12,7,3,2,1,282.433522137434,3,27.7537878787879,3.29545454545455,8.42183908045977,1.4803868320854
1070,24,10,1,13,2,1,5,1,1,1,1,1,12,9,12,8,12,8,3,2,1,234.077500547098,3,27.7537878787879,3.29545454545455,8.42183908045977,.37097505337086
1070,24,11,1,13,1,4,4,1,1,1,1,1,12,6,12,5,12,3,3,2,1,213.480167803168,2,27.7537878787879,3.29545454545455,8.42183908045977,.89007907624889
1070,24,12,1,13,2,7,4,1,1,1,1,1,12,9,12,7,12,7,3,2,1,284.573310714917,3,27.7537878787879,3.29545454545455,8.42183908045977,1.4803868320854
1070,25,13,1,13,1,12,4,1,1,1,1,1,12,6,12,5,66,6,3,2,1,261.843250636731,3,27.7537878787879,3.29545454545455,8.42183908045977,-.396204320072952
1070,24,14,1,13,1,5,4,1,1,1,1,1,12,8,12,5,12,5,3,2,1,212.022218314566,2,27.7537878787879,3.29545454545455,8.42183908045977,2.19088821953772
1069,23,15,1,13,2,8,4,1,1,1,1,1,12,7,12,6,12,8,3,2,1,265.632391359593,3,20.9027777777778,1.05555555555556,19.8026315789474,1.0878831730981
1071,28,16,2,13,2,2,4,1,1,1,1,1,12,8,12,66,12,8,3,2,1,279.449043928171,3,30.3205128205128,3.02564102564103,10.021186440678,.134110557468457
1071,28,17,2,13,2,7,4,1,1,1,1,1,12,8,12,66,12,7,3,2,1,216.897363489381,3,30.3205128205128,3.02564102564103,10.021186440678,.799668851428267
1356,758,18,3,13,1,11,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,186.410945207288,2,26.7929864253394,1.36538461538462,19.6230323115162,.538014065945069
1091,74,19,3,13,1,6,4,1,1,1,1,1,12,6,12,7,12,7,3,2,1,201.839080812878,2,30.0243902439024,1.8780487804878,15.987012987013,-.52085308899683
1069,23,20,1,13,2,6,4,1,1,1,1,1,12,9,12,8,12,6,3,2,1,214.587725038405,2,20.9027777777778,1.05555555555556,19.8026315789474,.714885683552366
1074,34,21,1,13,2,6,4,1,1,1,1,1,66,6,66,6,66,6,3,2,1,201.861289702584,2,42.1091954022989,4.41379310344828,9.54036458333333,1.31658589711697
1074,34,22,1,13,1,6,4,1,1,1,1,1,66,5,66,7,66,5,3,2,1,205.844353785737,2,42.1091954022989,4.41379310344828,9.54036458333333,1.15881598300494
1074,35,23,1,13,1,3,4,1,1,1,1,1,66,6,66,7,66,7,3,2,1,224.124938404477,3,42.1091954022989,4.41379310344828,9.54036458333333,1.03154023011628
1074,34,24,1,13,2,5,4,1,1,1,1,1,66,5,66,6,66,6,3,2,1,262.377720672831,3,42.1091954022989,4.41379310344828,9.54036458333333,1.0878831730981
1074,35,25,1,13,1,2,4,1,1,1,1,1,66,5,66,3,66,7,3,2,1,270.29673993736,3,42.1091954022989,4.41379310344828,9.54036458333333,1.51438999396618
1074,34,26,1,13,1,1,4,1,1,1,1,1,66,5,66,4,66,5,3,2,1,228.655394535123,3,42.1091954022989,4.41379310344828,9.54036458333333,.388398531955362
1074,34,27,1,13,1,10,4,1,1,1,1,1,66,7,66,7,66,7,3,2,1,270.556264780999,3,42.1091954022989,4.41379310344828,9.54036458333333,2.34050375352743
1074,34,28,1,13,2,11,4,1,1,1,1,1,66,6,66,7,66,6,3,2,1,201.825358639584,2,42.1091954022989,4.41379310344828,9.54036458333333,.089167463975947
1074,35,29,1,13,2,12,4,1,1,1,1,1,66,5,66,5,66,8,3,2,1,278.439546549082,3,42.1091954022989,4.41379310344828,9.54036458333333,-.658910205972589
1074,35,30,1,13,1,8,4,1,1,1,4,1,66,5,66,4,66,6,3,2,1,264.647458535102,3,42.1091954022989,4.41379310344828,9.54036458333333,1.66400552795588
1074,34,31,1,13,2,8,4,1,1,1,1,1,66,7,66,7,66,7,3,2,1,253.373707145691,3,42.1091954022989,4.41379310344828,9.54036458333333,1.71970183646756
1074,34,32,1,13,2,8,4,1,1,1,1,1,66,8,66,9,66,8,3,2,1,265.632391359593,3,42.1091954022989,4.41379310344828,9.54036458333333,1.86931737045726
1073,32,33,2,13,2,2,4,1,1,1,1,1,12,6,12,4,12,8,3,2,1,237.909903912892,3,36.953125,2.375,15.5592105263158,-.232403385104513
1073,32,35,2,13,2,6,4,1,1,1,1,1,12,6,12,6,12,5,3,2,1,196.511410199714,2,36.953125,2.375,15.5592105263158, 
1078,43,37,3,13,1,2,4,1,1,1,1,1,12,8,12,6,12,7,3,2,1,227.593854083916,3,28.6279069767442,4.09302325581395,6.99431818181818,-.198400223223741
1078,43,38,3,13,1,11,4,1,1,1,1,3,12,7,12,7,12,5,3,2,1,204.464801262042,2,28.6279069767442,4.09302325581395,6.99431818181818,.12228860916409
1084,59,39,1,13,2,2,4,1,1,1,1,1,12,7,12,6,12,6,3,2,1,225.526827642663,3,15.3081395348837,1.97674418604651,7.74411764705883,-.658910205972589
1084,59,40,1,13,2,4,4,1,1,9,9,9,12,7,12,8,12,8,3,2,1,284.423201340434,3,15.3081395348837,1.97674418604651,7.74411764705883,.754989289226175
1084,58,41,1,13,1,8,4,1,1,1,1,1,12,6,12,4,12,8,3,2,1,254.755287650228,3,15.3081395348837,1.97674418604651,7.74411764705883,1.83596084304664
1084,58,42,1,13,1,5,4,1,1,1,1,1,12,7,12,7,12,8,3,2,1,282.433522137434,3,15.3081395348837,1.97674418604651,7.74411764705883,-.698673465658137
1084,59,43,1,13,1,9,4,1,1,1,1,1,12,7,12,7,12,6,3,2,1,249.800078448421,3,15.3081395348837,1.97674418604651,7.74411764705883,.246937378087969
1084,59,44,1,13,2,1,5,1,1,1,1,1,12,8,12,8,12,8,3,2,1,265.632391359593,3,15.3081395348837,1.97674418604651,7.74411764705883,1.4803868320854
1084,58,45,1,13,1,2,4,1,1,3,2,2,12,8,12,9,12,9,3,2,1,257.855703359427,3,15.3081395348837,1.97674418604651,7.74411764705883,.156527153267346
524,67,46,1,13,2,7,4,1,1,1,1,1,7,8,12,7,12,6,3,2,1,179.46353263604,2,17.7905405405405,1.56756756756757,11.3491379310345,.246937378087969
