SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,TIPO_SCUOLA,Grado,genere,mese,anno,luogo,regolarità,origine,luogo_padre,luogo_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_MAT_200,LIVELLI_WLE_MAT,peso_studente,peso_classe,peso_scuola,ESCS_studente
1353,751,1,3,13,2,11,1,9,3,9,9,9,99,99,99,99,99,99,9,15,4,161.089418593566,1,21.4343891402715,1.01538461538462,21.1096256684492,.44474147493718
1359,763,2,3,13,1,1,1,9,3,9,9,9,99,99,99,99,99,99,9,15,4,104.866875211514,1,27.864705882353,1.36,20.4887543252595,-.198400223223741
1353,751,19774,3,13,1,6,1,9,3,9,9,9,99,99,99,99,99,99,9,15,4,127.02689231669,1,21.4343891402715,1.01538461538462,21.1096256684492,-1.44693197976492
1351,747,3,4,13,1,4,1,1,3,9,9,9,8,8,7,7,7,7,3,15,4,137.65188619934,1,59.2263157894737,2.15789473684211,27.4463414634146,.587609930663704
1068,21,4,3,13,1,10,4,1,1,1,1,2,12,7,12,5,12,5,3,2,1,157.247404503435,1,35.1714285714286,2.54285714285714,13.8314606741573, 
1068,21,5,3,13,1,7,4,1,1,1,1,1,12,8,12,5,12,4,3,2,1,183.193432999613,2,35.1714285714286,2.54285714285714,13.8314606741573,.246937378087969
1068,20,6,3,13,1,3,4,1,1,1,1,1,12,5,12,6,12,6,3,2,1,182.169879978001,2,35.1714285714286,2.54285714285714,13.8314606741573,1.68634530905693
1094,79,7,3,13,1,1,4,1,1,1,1,1,66,7,66,9,66,8,3,3,1,281.823121585027,5,16.12,3.05714285714286,5.27289719626168,-.232403385104513
1070,24,19775,1,13,1,10,4,1,1,1,1,1,12,6,12,6,12,3,3,2,1,188.349053150374,2,31.3119658119658,3.71794871794872,8.42183908045977,-.377283460735926
1070,24,8,1,13,1,5,4,1,1,1,1,1,12,9,12,9,12,7,3,2,1,271.775634239126,5,31.3119658119658,3.71794871794872,8.42183908045977,2.34050375352743
1070,24,9,1,13,1,12,4,1,1,1,1,1,12,7,12,9,12,7,3,2,1,301.06219933272,5,31.3119658119658,3.71794871794872,8.42183908045977,1.4803868320854
1070,24,10,1,13,2,1,5,1,1,1,1,1,12,9,12,8,12,8,3,2,1,271.775634239126,5,31.3119658119658,3.71794871794872,8.42183908045977,.37097505337086
1070,24,11,1,13,1,4,4,1,1,1,1,1,12,6,12,5,12,3,3,2,1,186.431297652968,2,31.3119658119658,3.71794871794872,8.42183908045977,.89007907624889
1070,24,12,1,13,2,7,4,1,1,1,1,1,12,9,12,7,12,7,3,2,1,234.544704887675,5,31.3119658119658,3.71794871794872,8.42183908045977,1.4803868320854
1070,25,13,1,13,1,12,4,1,1,1,1,1,12,6,12,5,66,6,3,2,1,212.49981283031,4,31.3119658119658,3.71794871794872,8.42183908045977,-.396204320072952
1070,24,14,1,13,1,5,4,1,1,1,1,1,12,8,12,5,12,5,3,2,1,211.82375382591,4,31.3119658119658,3.71794871794872,8.42183908045977,2.19088821953772
1069,23,15,2,13,2,8,4,1,1,1,1,1,12,7,12,6,12,8,3,2,1,173.498411037883,2,20.3378378378378,1.02702702702703,19.8026315789474,1.0878831730981
1071,28,16,2,13,2,2,4,1,1,1,1,1,12,8,12,66,12,8,3,2,1,209.12909033895,3,30.3205128205128,3.02564102564103,10.021186440678,.134110557468457
1071,28,17,2,13,2,7,4,1,1,1,1,1,12,8,12,66,12,7,3,2,1,187.218034626798,2,30.3205128205128,3.02564102564103,10.021186440678,.799668851428267
1356,758,18,3,13,1,11,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,148.896036962096,1,26.7929864253394,1.36538461538462,19.6230323115162,.538014065945069
1091,74,19,3,13,1,6,4,1,1,1,1,1,12,6,12,7,12,7,3,2,1,169.740039550892,2,30.0243902439024,1.8780487804878,15.987012987013,-.52085308899683
1069,23,20,2,13,2,6,4,1,1,1,1,1,12,9,12,8,12,6,3,2,1,168.759224043632,2,20.3378378378378,1.02702702702703,19.8026315789474,.714885683552366
1074,34,21,1,13,2,6,4,1,1,1,1,1,66,6,66,6,66,6,3,2,1,180.89522441275,2,33.9212962962963,3.55555555555556,9.54036458333333,1.31658589711697
1074,34,22,1,13,1,6,4,1,1,1,1,1,66,5,66,7,66,5,3,2,1,185.227621321752,2,33.9212962962963,3.55555555555556,9.54036458333333,1.15881598300494
1074,35,23,1,13,1,3,4,1,1,1,1,1,66,6,66,7,66,7,3,2,1,220.432333513929,4,33.9212962962963,3.55555555555556,9.54036458333333,1.03154023011628
1074,34,24,1,13,2,5,4,1,1,1,1,1,66,5,66,6,66,6,3,2,1,200.874545834467,3,33.9212962962963,3.55555555555556,9.54036458333333,1.0878831730981
1074,35,25,1,13,1,2,4,1,1,1,1,1,66,5,66,3,66,7,3,2,1,198.52486414144,3,33.9212962962963,3.55555555555556,9.54036458333333,1.51438999396618
1074,34,26,1,13,1,1,4,1,1,1,1,1,66,5,66,4,66,5,3,2,1,164.992378534888,1,33.9212962962963,3.55555555555556,9.54036458333333,.388398531955362
1074,34,27,1,13,1,10,4,1,1,1,1,1,66,7,66,7,66,7,3,2,1,169.527730332919,2,33.9212962962963,3.55555555555556,9.54036458333333,2.34050375352743
1074,34,28,1,13,2,11,4,1,1,1,1,1,66,6,66,7,66,6,3,2,1,197.339794118632,3,33.9212962962963,3.55555555555556,9.54036458333333,.089167463975947
1074,35,29,1,13,2,12,4,1,1,1,1,1,66,5,66,5,66,8,3,2,1,296.465170904734,5,33.9212962962963,3.55555555555556,9.54036458333333,-.658910205972589
1074,35,30,1,13,1,8,4,1,1,1,4,1,66,5,66,4,66,6,3,2,1,206.636971893336,3,33.9212962962963,3.55555555555556,9.54036458333333,1.66400552795588
1074,34,31,1,13,2,8,4,1,1,1,1,1,66,7,66,7,66,7,3,2,1,197.177060203795,3,33.9212962962963,3.55555555555556,9.54036458333333,1.71970183646756
1074,34,32,1,13,2,8,4,1,1,1,1,1,66,8,66,9,66,8,3,2,1,203.199924382842,3,33.9212962962963,3.55555555555556,9.54036458333333,1.86931737045726
1073,32,33,2,13,2,2,4,1,1,1,1,1,12,6,12,4,12,8,3,2,1,188.894505303761,2,36.953125,2.375,15.5592105263158,-.232403385104513
1074,35,34,1,13,2,8,4,1,1,1,1,1,66,8,66,9,66,9,3,2,1,239.615644736333,5,33.9212962962963,3.55555555555556,9.54036458333333,.871248295805256
1073,32,35,2,13,2,6,4,1,1,1,1,1,12,6,12,6,12,5,3,2,1,146.330970022242,1,36.953125,2.375,15.5592105263158, 
1078,43,37,3,13,1,2,4,1,1,1,1,1,12,8,12,6,12,7,3,2,1,192.758858530438,3,28.6279069767442,4.09302325581395,6.99431818181818,-.198400223223741
1078,43,38,3,13,1,11,4,1,1,1,1,3,12,7,12,7,12,5,3,2,1,176.701676954479,2,28.6279069767442,4.09302325581395,6.99431818181818,.12228860916409
1084,59,39,2,13,2,2,4,1,1,1,1,1,12,7,12,6,12,6,3,2,1,209.603933989031,3,15.3081395348837,1.97674418604651,7.74411764705882,-.658910205972589
1084,59,40,2,13,2,4,4,1,1,9,9,9,12,7,12,8,12,8,3,2,1,216.360467861352,4,15.3081395348837,1.97674418604651,7.74411764705882,.754989289226175
1084,58,41,2,13,1,8,4,1,1,1,1,1,12,6,12,4,12,8,3,2,1,176.495493030993,2,15.3081395348837,1.97674418604651,7.74411764705882,1.83596084304664
1084,58,42,2,13,1,5,4,1,1,1,1,1,12,7,12,7,12,8,3,2,1,224.759910745529,4,15.3081395348837,1.97674418604651,7.74411764705882,-.698673465658137
1084,59,43,2,13,1,9,4,1,1,1,1,1,12,7,12,7,12,6,3,2,1,181.185316417403,2,15.3081395348837,1.97674418604651,7.74411764705882,.246937378087969
1084,59,44,2,13,2,1,5,1,1,1,1,1,12,8,12,8,12,8,3,2,1,233.409734332803,5,15.3081395348837,1.97674418604651,7.74411764705882,1.4803868320854
